user,location,tweet,sentiment,probability
kevdres5,Bogota Colombia.,"DRAGON GIRL / New Char!

Link: https://t.co/qAS1PKYeHN

Actualizo 3 veces por semana. Por favor... ¡suscríbete!:… https://t.co/QRY87eWOkZ",Positivo,73
UssaVeronica,,@Bogota @ClaudiaLopez  #PicoYGenero no debería permitir grupos de “comadres” o “campadres”. Debe seguir obligatorio… https://t.co/1gAjJKOhXI,Positivo,65
RedMasNoticias,Colombia,"#Bogotá | A partir de este miércoles 15 de abril entrará en vigencia el #PicoYGénero en @CorabastosSA, después de l… https://t.co/BdhJ1YAb3w",Positivo,70
personeriabta,,"📡 Informativo de la Personería de Bogotá

Ante la medida de #PicoyGénero decretada por la Alcaldía Mayor, la Person… https://t.co/NkAwod6AaG",Positivo,67
JairoOcampo77,,El burro más joven de la galaxia dice que ve más mujeres que hombres hoy día par donde solo pueden salir mujeres en… https://t.co/PvyY8NgDdm,Positivo,58
dianaprieto69,Colombia - Guatemala,"@ZuluagaCamila Aja, si claro, como no... 

Mientra tanto en #Bogotá el #Covid19 va por 1,205 y contando.… https://t.co/kviqB5l0vM",Positivo,62
AntiZurdosCO,,"Se solicitan mujeres feministas, 100% poderosas, para cargar bultos en Corabastos. Los hombres hoy descansan por el… https://t.co/94nJj2CtpP",Positivo,75
CaroCorcione,"Bogota, Colombia",Cada vez que leo ese #PicoyGenero sin tilde... me confundo...porque por acá se ha generado juiciosamente. https://t.co/n9w3kpk9AK,Positivo,70
MaQuiMD1,"Bogotá, D.C., Colombia",Como se regula esto? Los hombres pueden trabajar ambos días?y Las mujeres se aguntan la fila de ellos? A ver?… https://t.co/1PraIDVM2G,Positivo,73
FUNDAMEJORHIV,SUBA BOGOTÁ D. C. ,En la localidad de Suba NO se ve el descenso de AGLOMERACIONES con Decreto 106 #PicoyGenero d @Bogota @ClaudiaLopez… https://t.co/sjTyVVn7u7,Positivo,67
malbarracin,Bogotá,Sobre #PicoyGénero @Mariquismo https://t.co/lCt1DlHGak,Positivo,69
Citytv,Bogotá,¿Cómo va el segundo día de #PicoYGénero en Bogotá?  ¿Están cumpliendo o no la medida los bogotanos? Hoy es día par;… https://t.co/FTPUW8Ybdj,Positivo,75
Aleja373,,"Con todas las críticas que comparto sobre el #Picoygénero, especialmente por la comunidad LGTBI,estoy segura que en… https://t.co/Q7aEPSHjat",Positivo,68
